case_id,shape_mismatch,Dice_Myocardium,Dice_LA,Dice_LV,Dice_RA,Dice_RV,Dice_Aorta,Dice_PA,Dice_LAA,Dice_Coronary,Dice_PV,CC_Myocardium,CC_LA,CC_LV,CC_RA,CC_RV,CC_Aorta,CC_PA,CC_LAA,CC_Coronary,CC_PV,Conn_PV_LA,Conn_LAA_LA,Conn_Cor_MyoAo
277,False,0.9449189760522188,0.9685097434459554,0.9800132428862595,0.9743798943726097,0.9359643513532037,0.9437342708576159,0.9236441955945566,0.7806914097178974,0.4395320949385705,0.895606136369709,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
913,False,0.9420063566618894,0.9672078553493944,0.9832442453911051,0.9710098904419712,0.9437126057839519,0.9549444641277659,0.9155402410027002,0.8125827250702438,0.3965108401084011,0.884884816597666,1,1,1,1,1,2,2,1,1,3,1.0,1.0,1.0
191,False,0.9409626335064482,0.9744705946440118,0.9833340634948451,0.9732145273047808,0.9425654886511855,0.9546882367395187,0.8416646625082511,0.8370104240461492,0.36354187487507494,0.8656130333243776,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
944,False,0.9450803994502273,0.9610229484798185,0.9794391827458029,0.9756530627364657,0.9383395942799599,0.953713783071078,0.9115571377813695,0.6312840510748525,0.4892098483888678,0.8703907527436939,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
168,False,0.9479602971830342,0.9712890309797635,0.9834931719666771,0.977654447505826,0.9552432149876106,0.9622816722299385,0.9050892352528616,0.8112377087560481,0.3952670924303183,0.8542464500968429,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
327,False,0.9446197838381886,0.9730607793276113,0.9852135601050952,0.9715463188149458,0.9398005686419518,0.9516241470492952,0.8882828211273648,0.8100425452335313,0.522706379849237,0.8562406762804575,1,1,1,1,1,2,3,1,2,3,1.0,1.0,1.0
420,False,0.9523272631266075,0.96982794930561,0.9819703624378632,0.9774699186276182,0.9400251320084614,0.9582394393094492,0.9096835078835309,0.7613630947652713,0.40475592779387937,0.8517403406831516,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
134,False,0.9416598375755573,0.968922301940299,0.977986152738011,0.9697094816661066,0.9537318870385822,0.9551258033835778,0.899232003276786,0.8441590516176833,0.6052985179391532,0.860380130658201,2,1,1,1,1,2,2,1,2,3,1.0,1.0,0.5
549,False,0.9419009979972641,0.9743473681851794,0.98326860928991,0.9768670831052336,0.9396796286461374,0.9547917598975196,0.8784388391341744,0.825601422301239,0.542344489901105,0.8549648502676757,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
927,False,0.947228675156791,0.9736422300670008,0.9809358752166378,0.9671534566627744,0.9400448554354293,0.9518703557862153,0.904364756333974,0.7451900051196512,0.4588263447579037,0.8597401818127269,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
970,False,0.942415352789238,0.9736868305452285,0.9822443690229185,0.9729002765616106,0.9575499701945308,0.9494001739528903,0.8968768121628061,0.8534735715135414,0.4471269296740995,0.8813051987566403,1,2,1,1,1,2,2,1,2,3,1.0,1.0,1.0
272,False,0.9445692557019015,0.9766158272247182,0.9825197768317381,0.9683390927109496,0.9514635065915048,0.9526797850582451,0.9015501639023884,0.7627822621273356,0.395894375438155,0.8919807503081227,1,1,1,1,1,2,1,1,1,1,1.0,1.0,1.0
593,False,0.9407103312581527,0.9692417104994473,0.98290838170899,0.9695493730308838,0.959270929007753,0.9546125607830546,0.9293679940318196,0.7360182804912883,0.48881183290892344,0.8978559625304423,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
658,False,0.9412152697444526,0.9723623992942678,0.983013750451762,0.974161513867129,0.956411126755,0.9583060794679733,0.9279792876577605,0.5744742635005387,0.4946788531363466,0.8688637865769393,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
285,False,0.9473250912427394,0.9708625412825316,0.9807264812189228,0.9715044201722957,0.9523371511574747,0.9609688394891105,0.9112969649313583,0.7968095762485146,0.5264014887183066,0.8752283763224986,1,1,1,1,1,2,1,1,2,3,1.0,1.0,1.0
817,False,0.9380875481555354,0.966836603473798,0.9812446302995267,0.9775423320152657,0.9230376479167275,0.9531549460668333,0.9011183118394546,0.8089006420085769,0.49424912840897983,0.821671469740634,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
784,False,0.9489357049380058,0.9753895750505793,0.9834303627407076,0.9700202177884016,0.9536810680453899,0.955387429301055,0.8681558971987824,0.8430382428758078,0.5929158025715471,0.8594619388548751,1,1,1,1,1,2,2,1,2,3,1.0,1.0,1.0
365,False,0.9402588599148431,0.9727625804775915,0.9794542677660049,0.9702656454500606,0.9488270480504135,0.9558726379504032,0.9135544770883706,0.8301697801372264,0.3622193598878255,0.8594392407802405,1,1,1,1,1,2,2,1,2,2,1.0,1.0,1.0
832,False,0.9377720593731561,0.972491774574866,0.9821962969074033,0.9757371941217686,0.934649419190801,0.958921390006975,0.8828518090496933,0.7730447975192144,0.4211088974196997,0.8464043004173677,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
